Illness;Link;Symptoms
Meniere disease - self-care;https://medlineplus.gov/ency/patientinstructions/000709.htm;Eating a low-salt (sodium) diet helps reduce the fluid pressure in your inner ear. This can help control symptoms of MÃ©niÃ¨re disease. Your provider may recommend cutting back to 1000 to 1500 mg of sodium per day. This is about Â½ to Â¾ teaspoon (2.5 to 4 grams) of salt.Start by taking the salt shaker off your table, and do not add any extra salt to foods. You get plenty of salt from the food you eat.These tips can help you cut the extra salt from your diet.When shopping, look for healthy choices that are naturally low in salt, including:Fresh or frozen vegetables and fruits.Fresh or frozen beef, chicken, turkey, and fish. Note that salt is often added to whole turkeys, so be sure to read the label.Learn to read labels.Check all labels to see how much salt is in each serving of your food. A product with less than 100 mg of salt per serving is good.Ingredients are listed in order of the amount the food contains. Avoid foods that list salt near the top of the list of ingredients.Look for these words: low-sodium, sodium-free, no salt added, sodium-reduced, or unsalted.Foods to avoid include:Most canned foods, unless the label says low or no sodium. Canned foods often contain salt to preserve the color of the food and keep it looking fresh.Processed foods, such as cured or smoked meats, bacon, hot dogs, sausage, bologna, ham, and salami.Packaged foods such as macaroni and cheese and rice mixes.Anchovies, olives, pickles, and sauerkraut.Soy and Worcestershire sauces.Tomato and other vegetable juices.Most cheeses.Many bottled salad dressings and salad dressing mixes.Most snack foods, such as chips or crackers.When you cook and eat at home:Replace salt with other seasonings. Pepper, garlic, herbs, and lemon are good choices.Avoid packaged spice blends. They often contain salt.Use garlic and onion powder, not garlic and onion salt.Do not eat foods containing monosodium glutamate (MSG).Replace your salt shaker with a salt-free seasoning mix.Use oil and vinegar on salads. Add fresh or dried herbs.Eat fresh fruit or sorbet for dessert.When you go out to eat:Stick to steamed, grilled, baked, boiled, and broiled foods with no added salt, sauces, or cheese.If you think the restaurant might use MSG, ask them not to add it to your order.Try to eat the same amount of food and drink the same amount of fluid at about the same time every day. This can help reduce changes in the fluid balance in your ear.
Meningitis;https://medlineplus.gov/ency/article/000680.htm;Enteroviral meningitis occurs more often than bacterial meningitis and is milder. It usually occurs in the late summer and early fall. It most often affects children and adults under age 30. Symptoms may include:HeadacheSensitivity to light (photophobia)Slight feverUpset stomach and diarrheaÂFatigueBacterial meningitis is an emergency. You will need immediate treatment in a hospital. Symptoms usually come on quickly, and may include:Fever and chillsMental status changesNausea and vomitingSensitivity to lightSevere headacheStiff neckOther symptoms that can occur with this disease:AgitationBulging fontanellesin babiesDecreased alertnessPoor feeding or irritability in childrenRapid breathingUnusual posture, with the head and neck arched backward (opisthotonos)You cannot tell if you have bacterial or viral meningitis by how you feel. Your health care provider must find out the cause. Go to a hospital emergency department right away if you think you have symptoms of meningitis.
Meningitis - cryptococcal;https://medlineplus.gov/ency/article/000642.htm;This form of meningitis starts slowly, over a few days to a few weeks. Symptoms may include:FeverHallucinationsHeadacheMental status change(confusion)Nausea and vomitingSensitivity to lightStiff neck
Meningitis - tuberculous;https://medlineplus.gov/ency/article/000650.htm;The symptoms often start slowly, and may include:Fever and chillsMental status changesNausea and vomitingSensitivity to light (photophobia)Severe headacheStiff neck (meningismus)Other symptoms that can occur with this disease may include:AgitationBulging fontanelles(soft spots) in babiesDecreased consciousnessPoor feeding or irritability in childrenUnusual posture, with the head and neck arched backward (opisthotonos). This is usually found in infants (less than 3 months old)
Meningocele repair;https://medlineplus.gov/ency/article/003020.htm;Repair of a meningocele or myelomeningocele is needed to prevent infection and further injury to the child's spinal cord and nerves. Surgery cannot correct the defects in the spinal cord or nerves.
Meningococcal ACWY vaccine - what you need to know;https://medlineplus.gov/ency/article/007602.htm;No symptoms section found.
Meningococcal B vaccine - what you need to know;https://medlineplus.gov/ency/article/007659.htm;No symptoms section found.
Meningococcal meningitis;https://medlineplus.gov/ency/article/000608.htm;Symptoms usually come on quickly, and may include:Fever and chillsMental status changesNausea and vomitingPurple, bruise-like areas (purpura)Rash, pinpoint red spots (petechiae)Sensitivity to light (photophobia)Severe headacheStiff neckÂOther symptoms that can occur with this disease:AgitationBulging fontanellesin infantsDecreased consciousnessPoor feeding or irritability in childrenRapid breathingUnusual posture with the head and neck arched backwards (opisthotonus)
Meningococcemia;https://medlineplus.gov/ency/article/001349.htm;There may be few symptoms at first. Some may include:FeverHeadacheIrritabilityMuscle painNauseaRash with very small red or purple spots on the feet or legsLater symptoms may include:A decline in your level of consciousnessLarge areas of bleeding under the skinShock
Meniscal allograft transplantation;https://medlineplus.gov/ency/article/007209.htm;Menisci are two cartilage rings that are in each knee. One is on the inner side of the knee (medial meniscus) and one is on the outer side (lateral meniscus). When a meniscus is torn, it is commonly removed by knee arthroscopy. Some people can continue to have pain after the meniscus is removed.A meniscus transplant places a new meniscus in the knee where the meniscus is missing. This procedure is only done when meniscus tears are so severe that all or nearly all of the meniscus cartilage is torn or has to be removed. The new meniscus can help with knee pain and possibly prevent future arthritis.Meniscus allograft transplantation may be recommended for knee problems such as:Development of early arthritisInability to play sports or other activitiesKnee painKnee that gives wayUnstable kneePersistent knee swelling
Meniscus tears - aftercare;https://medlineplus.gov/ency/patientinstructions/000684.htm;The meniscus forms a cushion between the bones in your knee to protect the joint. The meniscus:Acts like a shock-absorberHelps distribute the weight to the cartilageHelps to stabilize your knee jointCan tear and limit your ability to flex and extend your kneeA meniscus tear can occur if you:Twist or over-flex your kneeQuickly stop moving and change direction while running, landing from a jump, or turningKneel downTear one or more ligaments in your knee, like your anterior cruciate ligament (ACL)Squat down low and lift something heavyGet hit on your knee, such as during a football tackleAs you get older, your meniscus ages too, becoming more brittle and easier to tear.
Menkes disease;https://medlineplus.gov/ency/article/001160.htm;Common symptoms of Menkes disease in infants are:Brittle, kinky, steely, sparse, or tangled hairPudgy, rosy cheeks, sagging facial skinFeeding difficultiesIrritabilityDecreased muscle tone (hypotonia), floppinessLow body temperatureIntellectual disability and developmental delaySeizuresSkeletal changes
Menopause;https://medlineplus.gov/ency/article/000894.htm;Symptoms vary from woman to woman. They may last 5 or more years. Symptoms may be worse for some women than others. Symptoms of surgical menopause can be more severe and start more suddenly.The first thing you may notice is that periods start to change. They might occur more often or less often. Some women might get their period every 3 weeks before starting to skip periods You may have irregular periods for 1 to 3 years before they stop completely.Common symptoms of menopause include:Menstrual periods that occur less often and eventually stopHeart pounding or racingHot flashes, usually worst during the first 1 to 2 yearsNight sweatsSkin flushingSleeping problems (insomnia)Other symptoms of menopause may include:Decreased interest in sex or changes in sexual responseForgetfulness (in some women)HeadachesMood swings, including irritability, depression, and anxietyUrine leakageVaginal dryness and painful sexual intercourseVaginal infectionsJoint aches and painsIrregular heartbeat (palpitations)
Mental status testing;https://medlineplus.gov/ency/article/003326.htm;Most tests are divided into sections, each with its own score. The results help show which part of someone's thinking and memory may be affected.
Menthol poisoning;https://medlineplus.gov/ency/article/002673.htm;Menthol may be found in:Breath freshenersCandyCigarettesCold soremedicinesCough dropsCreams and lotions to relieveitchingGumInhalants, lozenges, or ointments to treatnasal congestionMedicines to treat sore mouth, throat, or gumsMouthwashesOintments to treat aches and pains(such as Ben-Gay, Therapeutic Mineral Ice)Peppermint oilOther products may also contain menthol.
Meperidine hydrochloride overdose;https://medlineplus.gov/ency/article/002676.htm;The medicine Demerol contains meperidine.
Meprobamate overdose;https://medlineplus.gov/ency/article/002677.htm;The key symptoms of meprobamate poisoning are decreased levels of consciousness, lack of responsiveness, and low blood pressure. Below are symptoms of a meprobamate overdose in different parts of the body.EYES, EARS, NOSE, AND THROATBlurred visionDouble visionRapid side-to-side movement of the eyesSTOMACH AND INTESTINESVomitingHEART AND BLOODLow blood pressurePounding heartbeat (palpitations)Rapid heart rateSlow heart rateLUNGSLabored breathingSlowed breathingWheezingNERVOUS SYSTEMComa(decreased level of consciousness and lack of responsiveness)ConfusionConvulsionsDizzinessExcitabilityDrowsinessLack of alertness (stupor)Slurred speechTremorUncoordinated movementWeaknessSKINBlue lips and fingernailsTiny red spots on skin
Merbromin poisoning;https://medlineplus.gov/ency/article/002897.htm;Merbromin is found in some antiseptics. A common brand name is Mercurochrome, which contains mercury. Compounds like this that contain mercury have not been legally sold in the United States since 1998.
Mercuric chloride poisoning;https://medlineplus.gov/ency/article/002474.htm;Mercuric chloride may be found in some:AntisepticsDry cell batteriesNote: This list may not be all inclusive.
Mercuric oxide poisoning;https://medlineplus.gov/ency/article/002475.htm;Mercuric oxide may be found in some:Button batteries(batteries containing mercury are no longer sold in the United States)DisinfectantsFungicidesThere have been reports of inorganic mercury poisoning from the use of skin-lightening creams.Note: This list may not be all inclusive.
Mercury poisoning;https://medlineplus.gov/ency/article/002476.htm;Elemental mercury can be found in:Glass thermometersElectrical switchesFluorescent light bulbsDental fillingsSome medical equipmentInorganic mercury can be found in:BatteriesChemistry labsSome disinfectantsFolk remediesRed cinnabar mineralOrganic mercury can be found in:Older germ-killers (antiseptics) such as red mercurochrome (merbromin) (this substance is now banned by the FDA)Fumes from burning coalFish that have eaten a form of organic mercury called methylmercuryThere may be other sources of these forms of mercury.
Merthiolate poisoning;https://medlineplus.gov/ency/article/002678.htm;Merthiolate is found in:MerthiolateSome eye dropsSome nasal dropsThe FDA banned the use of merthiolate in over-the-counter products in the late 1990s.
Mesenteric angiography;https://medlineplus.gov/ency/article/003819.htm;You should not eat or drink anything for 6 to 8 hours before the test.You will be asked to wear a hospital gown and sign a consent form for the procedure. Remove jewelry from the area being imaged.Tell your provider:If you are pregnantIf you have ever had any allergic reactions to x-ray contrast material, shellfish, or iodine substancesIf you are allergic to any medicinesWhich medicines you are taking (including any herbal preparations)If you have ever had any bleeding problems
Mesenteric artery ischemia;https://medlineplus.gov/ency/article/001156.htm;Symptoms caused by gradual hardening of the mesenteric arteries include:Abdominal pain after eatingDiarrheaSymptoms of sudden (acute) mesenteric artery ischemia due to a traveling blood clot include:Sudden severe abdominal pain or bloatingDiarrheaVomitingFeverNausea
Mesenteric venous thrombosis;https://medlineplus.gov/ency/article/001157.htm;Symptoms may include any of the following:Abdominal pain, which may get worse after eating and over timeBloatingConstipationBloodydiarrheaFeverSeptic shockLower gastrointestinal bleedingVomiting and nausea
Metabolic acidosis;https://medlineplus.gov/ency/article/000335.htm;Most symptoms are caused by the underlying disease or condition that is causing the metabolic acidosis. Metabolic acidosis itself causes rapid and deep breathing as your body tries to compensate for it. Confusion or lethargy may also occur. Severe metabolic acidosis can lead to shock or death. In some situations, metabolic acidosis can be a mild, ongoing (chronic) condition.
Metabolic neuropathies;https://medlineplus.gov/ency/article/001161.htm;These symptoms occur because nerves cannot send proper signals to and from your brain:Difficulty feeling in any area of the bodyDifficulty using the arms or handsDifficulty using the legs or feetDifficulty walkingPain, burning feeling, a pins and needles feeling or shooting pains in any area of the body (nerve pain)Weakness in the face, arms, legs, or other areas of the bodyDysautonomia, which affects the autonomic (involuntary) nervous system, resulting in symptoms such as rapid heart rate, exercise intolerance, low blood pressure when standing, abnormal sweat patterns, stomach problems, abnormal functioning of the pupils of the eye, and poor erectionThese symptoms often start in the toes and feet and move up the legs, eventually affecting the hands and arms.
Metabolic syndrome;https://medlineplus.gov/ency/article/007290.htm;"Your health care provider will examine you. You'll be asked about your overall health and any symptoms you're having. Blood tests may be ordered to check your blood sugar, cholesterol, and triglyceride levels.You'll likely be diagnosed with metabolic syndrome if you have three or more of the following signs:Blood pressure equal to or higher than 130/85 mm Hg or you're taking medicine for high blood pressureFasting blood sugar (glucose) from 100 to 125 mg/dL (5.6 to 7 mmol/L) or you've been diagnosed with and are taking medicines for diabetesLarge waist circumference (length around the waist): For men, 40 inches (102 centimeters [cm]) or more; for women, 35 inches (89 cm) or more [for people of Asian ancestry 35 inches (89 cm) for men and 30 inches (76 cm) for women]Low HDL (good) cholesterol: For men, less than 40 mg/dL (1.04 mmol/L); for women, less than 50 mg/dL (1.29 mmol/L) or you're taking medicine for reduced HDLFasting levels of triglycerides equal to or higher than 150 mg/dL (1.69 mmol/L) or you're taking medicine to lower triglycerides"
Metabolism;https://medlineplus.gov/ency/article/002257.htm;No symptoms section found.
Metabolite;https://medlineplus.gov/ency/article/002258.htm;No symptoms section found.
Metachromatic leukodystrophy;https://medlineplus.gov/ency/article/001205.htm;Symptoms of MLD may include any of the following:Abnormally high or decreased muscle tone, or abnormal muscle movements, any of which may cause problems walking or frequent fallsBehavior problems, personality changes,irritabilityDecreased mental functionDifficulty swallowingInability to perform normal tasksIncontinencePoor school performanceSeizuresSpeech difficulties, slurring
Metal cleaner poisoning;https://medlineplus.gov/ency/article/002812.htm;Various metal cleaners contain these compounds.
Metal polish poisoning;https://medlineplus.gov/ency/article/002795.htm;Metal polishes are sold under various brand names. Examples include Brasso and Tarn-X.
Metastasis;https://medlineplus.gov/ency/article/002260.htm;No symptoms section found.
Metastatic brain tumor;https://medlineplus.gov/ency/article/000769.htm;Symptoms may include any of the following:Decreased coordination, clumsiness, fallsGeneral ill feelingorfatigueHeadache, new or more severe than usualMemory loss, poor judgment, difficulty solving problemsNumbness, tingling, pain, and other changes in sensationPersonality changesRapid emotional changes or strange behaviorsSeizuresthat are newProblems with speechVision changes, double vision, decreased visionVomiting, with or without nauseaWeakness of a body areaSpecific symptoms vary. Common symptoms of most types of metastatic brain tumors are caused by increased pressure in the brain.
Metastatic pleural tumor;https://medlineplus.gov/ency/article/000117.htm;Symptoms may include any of the following:Chest pain, especially when taking a deep breathCoughWheezingCoughing up blood (hemoptysis)General discomfort, uneasiness, or ill feeling (malaise)Shortness of breathWeight lossLoss of appetite
Metatarsal fracture (acute) - aftercare;https://medlineplus.gov/ency/patientinstructions/000571.htm;"There are five metatarsal bones in your foot. The fifth metatarsal is the outer bone that connects to your little toe. It is the most commonly fractured metatarsal bone.A common type of break in the part of your fifth metatarsal bone closest to the ankle is called a Jones fracture. This area of the bone has low blood flow. This makes healing difficult.An avulsion fracture occurs when a tendon pulls a piece of bone away from the rest of the bone. An avulsion fracture on the fifth metatarsal bone is sometimes called a ""dancer's fracture."""
Metatarsal stress fractures - aftercare;https://medlineplus.gov/ency/patientinstructions/000553.htm;Stress fractures of the metatarsals occur most commonly in women.Stress fractures are more common in people who:Increase their activity level suddenly.Do activities that put a lot of pressure on their feet, such as running, dancing, jumping, or marching (as in the military).Have a bone condition such asosteoporosis(thin, weak bones) orarthritis(inflamed joints).Have a nervous system disorder that causes loss of feeling in the feet (such asnerve damage due to diabetes).Pain is an early sign of a metatarsal stress fracture. The pain may occur:During activity, but go away with restOver a wide area of your footOver time, the pain will be:Present all the timeStronger in one area of your footThe area of your foot where the fracture is may be tender when you touch it. It may also be swollen.
Metatarsus adductus;https://medlineplus.gov/ency/article/001601.htm;The front of the foot is bent or angled in toward the middle of the foot. The back of the foot and the ankles are normal. About one half of children with metatarsus adductus have these changes in both feet.(Club foot is a different problem. The foot is pointed down and the ankle is turned in.)
Methadone overdose;https://medlineplus.gov/ency/article/002679.htm;Medicines with these brand names contain methadone:DolophineMethadosePhyseptoneOther medicines may also contain methadone. The ones above include methadone products that are swallowed or injected into a vein, muscle, or under the skin.
Methamphetamine overdose;https://medlineplus.gov/ency/article/007480.htm;Methamphetamine is a common, illegal, drug sold on the streets. It may be called meth, crystal meth, crank, speed, glass, tweak, chalk, Tina, or ice.A much weaker form of methamphetamine is sold as a prescription with the brand name Desoxyn. It is sometimes used to treat narcolepsy. Adderall, a brand name drug containing amphetamine, is used to treat ADHD.
Methanol poisoning;https://medlineplus.gov/ency/article/002680.htm;Methanol is found in:AntifreezeCanned heating sourcesCopy machine fluidsDe-icing fluidFuel additives (octane boosters)Paint remover or thinnerShellacVarnishWindshield wiper fluidNote: This list may not be all-inclusive.
Methanol test;https://medlineplus.gov/ency/article/003563.htm;No special preparation is necessary.
Methemoglobinemia;https://medlineplus.gov/ency/article/000562.htm;Symptoms of type 1 MetHb include:Bluish coloring of the skin (called cyanosis)Symptoms of type 2 MetHb include:Developmental delayFailure to thriveIntellectual disabilitySeizuresSymptoms of hemoglobin M disease include:Bluish coloring of the skinSymptoms of acquired MetHb include:Bluish coloring of the skinHeadacheGiddinessAltered mental stateFatigueShortness of breathLack of energy
Methemoglobinemia - acquired;https://medlineplus.gov/ency/article/000561.htm;No symptoms section found.
Methicillin-resistant Staphylococcus aureus (MRSA);https://medlineplus.gov/ency/article/007261.htm;"It is normal for healthy people to have staph on their skin. Many of us do. Most of the time, it does not cause an infection or any symptoms. This is called ""colonization"" or ""being colonized."" Someone who is colonized with MRSA can spread it to other people.A sign of a staph skin infection is a red, swollen, and painful area on the skin. Pus or other fluids may drain from this area. It may look like a boil. These symptoms are more likely to occur if the skin has been cut or rubbed, because this gives the MRSA germ a way to enter your body. Symptoms are also more likely in areas where there is more body hair, because the germ can get into hair follicles.MRSA infection in people who are in health care facilities tends to be severe. These infections may be in the bloodstream, heart, lungs or other organs, urine, or in the area of a recent surgery. Some symptoms of these severe infections may include:Chest painCough or shortness of breathFatigueFever and chillsGeneral ill feelingHeadacheRashWounds that do not heal"
Methyl salicylate overdose;https://medlineplus.gov/ency/article/002683.htm;These products contain methyl salicylate:Deep-heating creamsused to relieve sore muscles and joints (Ben Gay, Icy Hot)Oil of wintergreenSolutions for vaporizersMouthwashOther products may also contain methyl salicylate.
Methylene blue test;https://medlineplus.gov/ency/article/003412.htm;No special preparation is required for this test.
Methylmalonic acid blood test;https://medlineplus.gov/ency/article/003565.htm;No special preparation is necessary.
Methylmalonic acidemia;https://medlineplus.gov/ency/article/001162.htm;Babies may appear normal at birth, but develop symptoms once they start eating more protein, which can cause the condition to get worse. The disease can cause seizures and stroke.Symptoms include:Brain disease that gets worse (progressive encephalopathy)DehydrationDevelopmental delaysFailure to thriveLethargySeizuresVomiting
Methylmercury poisoning;https://medlineplus.gov/ency/article/007763.htm;Methylmercury is a type of mercury, a metal that is liquid at room temperature. A nickname for mercury is quicksilver. Most compounds containing mercury are poisonous. Methylmercury is a very poisonous form of mercury. It forms when bacteria react with mercury in water, soil, or plants. It was used to preserve grain fed to animals.Poisoning from eating fish from water that is contaminated with methylmercury has occurred. One famous incident occurred in Minamata Bay in Japan in the 1940s. Methylmercury poisoning has also occurred in people who have eaten meat from animals fed with grain that was treated with this form of mercury. Rare cases have occurred in children who ate bread made from grain contaminated with methylmercury.Methylmercury is used in fluorescent lights, batteries, and polyvinyl chloride. It is a common pollutant of air and water.
Metopic ridge;https://medlineplus.gov/ency/article/003312.htm;A birth defect calledcraniosynostosisis a common cause of metopic ridge. It can also be associated with other congenital skeletal defects.
MIBG scintiscan;https://medlineplus.gov/ency/article/003830.htm;You will need to sign an informed consent form. You will be asked to wear a hospital gown or loose-fitting clothes. You will need to remove jewelry or metal objects before each scan. Many drugs interfere with the test. Ask your health care provider which of your regular medicines you may need to stop taking before the test.
Microalbuminuria test;https://medlineplus.gov/ency/article/003591.htm;No special preparation is necessary for this test.
Microcephaly;https://medlineplus.gov/ency/article/003272.htm;Most often, microcephaly is diagnosed at birth or during routinewell-baby exams. Talk to your health care provider if you think your infant's head size is too small or not growing normally.Contact your provider if you or your partner has been to an area where Zika is present and you are pregnant or thinking about becoming pregnant.
Micrognathia;https://medlineplus.gov/ency/article/003306.htm;Micrognathia may be part of other genetic syndromes, including:Cri du chat syndromeHallermann-Streiff syndromeMarfan syndromePierre Robin syndromeProgeriaRussell-Silver syndromeSeckel syndromeSmith-Lemli-Opitz syndromeTreacher-Collins syndromeTrisomy 13Trisomy 18XO syndrome (Turner syndrome)
Middle East Respiratory Syndrome (MERS);https://medlineplus.gov/ency/patientinstructions/000723.htm;The main symptoms are:Fever and chillsCoughShortness of breathLess common symptoms includecoughing up blood, diarrhea, and vomiting.Some people infected with MERS-CoV had mild symptoms or no symptoms at all. Some people with MERS have developed pneumonia and kidney failure. About 3 to 4 out of every 10 people with MERS have died. Most of those who developed severe illness and died had other health problems that weakened their immune system.Right now, there is no vaccine for MERS and no specific treatment. Supportive care is given.
Midline venous catheters - infants;https://medlineplus.gov/ency/article/007744.htm;No symptoms section found.
Migraine;https://medlineplus.gov/ency/article/000709.htm;There are two main types of migraines:Migraine with aura (classic migraine)Migraine without aura (common migraine)An aura is a group of nervous system (neurologic) symptoms. These symptoms are considered a warning sign that a migraine is coming. Most often, the vision is affected and can include any or all of the following:Temporary blind spots or colored spotsBlurred visionEye painSeeing stars, zigzag lines, or flashing lightsTunnel vision (only able to see objects close to the center of the field of view)Other nervous system symptoms include yawning, difficulty concentrating, nausea, trouble finding the right words, dizziness, weakness, numbness, and tingling. Some of these symptoms are much less common with migraine headaches. If you have any of these symptoms, your provider will likely order tests to find the cause.An aura often occurs 10 to 15 minutes before the headache, but can occur just a few minutes to 24 hours before. A headache does not always follow an aura.The headaches usually:Start as a dull ache and get worse within minutes to hoursAre throbbing, pounding, or pulsatingAre worse on one side of the head with pain behind the eye or in the back of the head and neckLast 4 to 72 hoursOther symptoms that may occur with the headache include:ChillsIncreased urinationFatigueLoss of appetiteNausea and vomitingSensitivity to light or soundSweatingSymptoms may linger, even after the migraine goes away. This is called a migraine hangover. Symptoms can include:Feeling mentally dull, like your thinking is not clear or sharpNeeding more sleepNeck pain
Migraine - resources;https://medlineplus.gov/ency/article/002155.htm;No symptoms section found.
Mild to moderate COVID-19 - discharge;https://medlineplus.gov/ency/patientinstructions/000976.htm;You should contact your provider if your symptoms are getting worse.Call 911 or your local emergency number if you have:Trouble breathingChest pain or pressureConfusion or inability to wake upBluish, gray, or pale discoloration of lips or faceSeizuresSlurred speechWeakness or numbness in a limb or one side of the faceSwelling of the legs or armsAny other symptoms that are severe or concern you
Mildew remover poisoning;https://medlineplus.gov/ency/article/002797.htm;Mildew removers are sold under various brand names.
Milia;https://medlineplus.gov/ency/article/001367.htm;Symptoms may include:Whitish, pearly bump in the skin of newbornsBumps that appear across the cheeks, nose, and chinWhitish, pearly bump on gums or roof of mouth (they may look like teeth coming through the gums)
Milk-alkali syndrome;https://medlineplus.gov/ency/article/000332.htm;In the beginning, the condition usually has no symptoms (asymptomatic). When symptoms do occur, they can include:Back, middle of the body, and low back pain in the kidney area (related to kidney stones)Confusion, strange behaviorConstipationDepressionExcessive urinationFatigueIrregular heartbeat (arrhythmia)Nausea or vomitingOther symptoms that can result from kidney failure
Millipede toxin;https://medlineplus.gov/ency/article/002846.htm;Millipede toxin contains these chemicals.
Mineral oil overdose;https://medlineplus.gov/ency/article/002684.htm;Mineral oil is sold just as the oil itself. It may also be found in some:AntacidsDiaper rashmedicinesEye care productsHemorrhoidmedicinesLaxativesOther products may also contain mineral oil.
Mineral spirits poisoning;https://medlineplus.gov/ency/article/002798.htm;These substances may be found in:Mineral spirits (Stoddard solvent)Some dry cleaning fluidsSome floor and furniture waxes and polishesSome paintsWhite spiritsNote:This list may not be all-inclusive.
Minimal change disease;https://medlineplus.gov/ency/article/000496.htm;There may be symptoms of nephrotic syndrome, including:Foamy appearance of the urinePoor appetiteSwelling (especially around the eyes, feet and ankles, and in the abdomen)Weight gain (from fluid retention)Minimal change disease does not reduce the amount of urine produced. It rarely progresses tokidney failure.
Minimally invasive hip replacement;https://medlineplus.gov/ency/article/007498.htm;As in regular surgery, this procedure is done to replace or repair a diseased or damaged hip joint. This technique works better for people who are younger and thinner. Minimally invasive techniques may allow for a quicker recovery and less pain.You may not qualify for this procedure ifYour arthritis is quite severe.You have medical problems that do not allow you to have this surgery.You have a lot of soft tissue or fat so that larger cuts would be needed to access the joint.Talk with your surgeon about the benefits and risks. Ask if your surgeon has experience with this type of surgery.
Minor burns - aftercare;https://medlineplus.gov/ency/patientinstructions/000662.htm;First, calm and reassure the person who is burned.If clothing is not stuck to the burn, remove it. If the burn is caused by chemicals, take off all clothes that have the chemical on them.Cool the burn:Use cool water, not ice. The extreme cold from ice can injure the tissue even more.If possible, particularly if the burn is caused by chemicals, hold the burned skin under cool running water for 10 to 15 minutes until it does not hurt as much. Use a sink, shower, or garden hose.If this is not possible, put a cool, clean wet cloth on the burn, or soak the burn in a cool water bath for 5 minutes.
Miscarriage;https://medlineplus.gov/ency/article/001488.htm;Possible symptoms of miscarriage may include:Low back pain or abdominal pain that is dull, sharp, or crampingTissue or clot-like material that passes from the vaginaVaginal bleeding, with or without abdominal crampsSome women may not have any symptoms at the beginning.
Miscarriage - threatened;https://medlineplus.gov/ency/article/000907.htm;Symptoms of a threatened miscarriage include:Vaginal bleeding during the first 20 weeks of pregnancy (last menstrual period was less than 20 weeks ago). Vaginal bleeding occurs in almost all threatened miscarriages.Abdominal cramps may also occur. If abdominal cramps occur in the absence of significant bleeding, consult your health care provider to check for other problems besides threatened miscarriage.Note: During a miscarriage, low back pain or abdominal pain (dull to sharp, constant to intermittent) can occur. Tissue or clot-like material may pass from thevagina.
Mistletoe poisoning;https://medlineplus.gov/ency/article/002883.htm;The poisonous ingredient is found in all parts of the plant, but especially in the leaves.
Mitral stenosis;https://medlineplus.gov/ency/article/000175.htm;Adults may have no symptoms. However, symptoms may appear or get worse with exercise or other activity that raises the heart rate. Symptoms will most often develop between ages 20 and 50.Symptoms may begin with an episode of atrial fibrillation (especially if it causes a fast heart rate). Symptoms may also be triggered by pregnancy or other stress on the body, such as infection in the heart or lungs, or other heart disorders.Symptoms may include:Chest discomfort that increases with activity and extends to the arm, neck, jaw or other areas (this is rare)Cough, possibly with bloody phlegmDifficulty breathing during or after exercise (This is the most common symptom.)Waking up due to breathing problems or when lying in a flat positionFatigueFrequent respiratory infections, such as bronchitisFeeling of pounding heart beat (palpitations)Swelling of feet or anklesIn infants and children, symptoms may be present from birth (congenital). They will almost always develop within the first 2 years of life. Symptoms include:CoughPoor feeding, or sweating when feedingPoor growthShortness of breath
Mitral valve prolapse;https://medlineplus.gov/ency/article/000180.htm;"Many people with mitral valve prolapse Do not have symptoms. A group of symptoms sometimes found in people with mitral valve prolapse has been called ""mitral valve prolapse syndrome,"" and includes:Chest pain (not caused by coronary artery disease or a heart attack)DizzinessFatiguePanic attacksSensation of feeling the heart beat (palpitations)Shortness of breath with activity or when lying flat (orthopnea)The exact relationship is between these symptoms and the valve problem is not clear. Some of the findings may be coincidental.When mitral regurgitation occurs, symptoms may be related to the leaking, particularly when severe."
Mitral valve regurgitation;https://medlineplus.gov/ency/article/000176.htm;Symptoms may begin suddenly if:A heart attack damages the muscles around the mitral valve.The cords that attach the muscle to the valve break.An infection of the valve destroys part of the valve.There are often no symptoms. When symptoms occur, they often develop gradually, and may include:CoughFatigue,exhaustion, and lightheadednessRapid breathingSensation of feeling the heart beat (palpitations) or a rapid heartbeatShortness of breath that increases with activity and when lying downWaking up an hour or so after falling asleep because of trouble breathingUrination, excessive at night
Mitral valve surgery - minimally invasive;https://medlineplus.gov/ency/article/007411.htm;You may need surgery if your mitral valve does not work properly because:You have mitral regurgitation -- When a mitral valve does not close all the way and allows blood to leak back into the left atria.You havemitral stenosis-- When a mitral valve does not open fully and restricts blood flow.Your valve has developed an infection (infectiousendocarditis).You have severemitral valve prolapsethat is not controlled with medicine.Minimally invasive surgery may be done for these reasons:Changes in your mitral valve are causing major heart symptoms, such as shortness of breath, leg swelling, or heart failure.Tests show that the changes in your mitral valve are beginning to harm your heart function.Damage to your heart valve from infection (endocarditis).A minimally invasive procedure has many benefits. There is less pain, blood loss, and risk of infection. You will also recover faster than you would from open heart surgery. However, some people may not be able to have this type of procedure.Percutaneous valvuloplasty is only done in people who are too sick to have anesthesia. The results of this procedure are not long-lasting.
