illness;symptoms
kawasaki;['abdominal pain', 'cough', 'diarrhea', 'fever', 'irritability', 'joint pain', 'rash', 'red eyes', 'runny nose', 'skin rashes', 'swelling', 'swollen lymph nodes', 'vomiting']
keratitis;['blurred vision', 'eye pain', 'eye redness', 'sensitivity light']
ketoacidosis;['abdominal pain', 'agitation', 'confusion', 'dry skin', 'fatigue', 'frequent urination', 'loss appetite', 'muscle stiffness', 'nausea', 'rapid breathing', 'stiffness', 'vertigo', 'vomiting', 'worry']
kidney;['abdominal pain', 'back pain', 'bruise', 'chill', 'confusion', 'dry skin', 'excessive thirst', 'fatigue', 'fever', 'high blood pressure', 'irregular heartbeat', 'itch', 'joint pain', 'loss appetite', 'metallic taste', 'muscle twitching', 'nausea', 'numbness', 'painful urination', 'pale skin', 'perspiration', 'seizure', 'shortness breath', 'swelling', 'urinary urgency', 'vomiting', 'weakness', 'weight loss', 'worry']
kinase;['anxiety', 'fatigue', 'jaundice', 'pale skin', 'swelling']
klinefelter;['anxiety', 'delayed growth', 'depression']
krabbe;['fever', 'hearing loss', 'irritability', 'seizure', 'vomiting']
kuru;['difficulty swallowing', 'difficulty walking', 'tremor', 'worry']
kwashiorkor;['diarrhea', 'fatigue', 'irritability', 'rash', 'swelling']
kyphosis;['fatigue', 'stiffness']
labyrinthitis;['hearing loss', 'loss balance', 'nausea', 'tinnitus', 'vertigo', 'vomiting']
lactic;['nausea', 'vomiting', 'weakness']
lactose;['abdominal bloating', 'bloat', 'diarrhea', 'nausea']
lamberteaton;['blurry vision', 'choking', 'constipation', 'double vision', 'dry eyes', 'dry mouth', 'erectile dysfunction', 'fatigue', 'muscle pain', 'perspiration', 'vertigo', 'weakness']
lamellar;['breathing problems', 'hair loss', 'loss balance', 'sensitivity heat']
laryngitis;['fever', 'gruffness', 'swollen lymph nodes']
leggcalveperthes;['knee pain', 'stiffness']
legionnaires;['abdominal pain', 'chest pain', 'chill', 'cough', 'diarrhea', 'fever', 'joint pain', 'nausea', 'shortness breath', 'stiffness', 'vomiting', 'worry']
leishmaniasis;['cough', 'diarrhea', 'fatigue', 'fever', 'night sweats', 'runny nose', 'stuffy nose', 'vomiting', 'weakness', 'weight loss']
;['delayed growth', 'hearing loss', 'shortness breath']
lepromin;['anxiety']
leprosy;['numbness', 'skin lesions', 'weakness']
leptospirosis;['abdominal pain', 'chill', 'cough', 'diarrhea', 'fever', 'inflammation', 'muscle pain', 'nausea', 'rash', 'sore throat', 'vomiting', 'worry']
leschnyhan;['swelling']
;['skin lesions']
leukemia;['fever', 'frequent infections', 'bleeding gums', 'night sweats', 'chill', 'perspiration', 'swollen lymph nodes', 'excessive sweating', 'swelling', 'rash', 'pale skin', 'weight loss', 'fatigue', 'joint pain', 'loss appetite', 'bruise', 'shortness breath', 'weakness']
leukodystrophy;['difficulty swallowing', 'incontinence', 'irritability', 'seizure']
leukoencephalopathy;['loss coordination', 'memory loss', 'slowness', 'weakness']
lice;['itch']
lichen;['dry mouth', 'hair loss', 'itch', 'metallic taste']
limbgirdle;['back pain', 'palpitation', 'weakness']
lipofuscinoses;['seizure']
lipoidica;['skin lesions']
listeriosis;['jaundice', 'loss appetite', 'rash', 'vomiting']
ludwig;['confusion', 'difficulty swallowing', 'earache', 'fatigue', 'fever', 'inflammation', 'neck pain', 'salivate', 'swelling', 'tongue swelling', 'weakness']
lupus;['nausea', 'fever', 'numbness', 'cough', 'prickling', 'dry eyes', 'confusion', 'stiffness', 'swollen lymph nodes', 'worry', 'sharp pain', 'hair loss', 'swelling', 'rash', 'memory loss', 'skin lesions', 'weight loss', 'abdominal pain', 'seizure', 'fatigue', 'joint pain', 'high blood pressure', 'loss appetite', 'vomiting', 'chest pain', 'weakness']
lyme;['chest pain', 'chill', 'fever', 'joint pain', 'muscle pain', 'numbness', 'palpitation', 'prickling', 'rash', 'shortness breath', 'swelling', 'weakness', 'worry']
lymphadenitis;['fever']
lymphangitis;['chill', 'fever', 'loss appetite', 'throbbing pain', 'worry']
lymphatic;['swelling']
lymphoblastic;['bleeding gums', 'bruise', 'fever', 'joint pain', 'loss appetite', 'night sweats', 'swollen lymph nodes', 'weight loss']
lymphocytic;['excessive sweating', 'fatigue', 'fever', 'loss appetite', 'night sweats', 'perspiration', 'weight loss']
lymphogranuloma;['inflammation', 'swelling']
lymphoma;['abdominal pain', 'back pain', 'blush', 'breathing problems', 'chest pain', 'chill', 'confusion', 'constipation', 'cough', 'excessive sweating', 'fever', 'hallucination', 'itch', 'loss appetite', 'loss coordination', 'nausea', 'night sweats', 'numbness', 'perspiration', 'rash', 'seizure', 'shortness breath', 'swelling', 'swollen glands', 'swollen lymph nodes', 'vomiting', 'weakness', 'weight loss', 'wheeze', 'worry']
macroglobulinemia;['bruise', 'confusion', 'diarrhea', 'fatigue', 'numbness', 'prickling', 'rash', 'swollen glands', 'vertigo', 'weight loss']
macular;['blurred vision']
malabsorption;['bloat', 'diarrhea', 'weakness', 'weight gain', 'weight loss']
malaise;['depression', 'high blood pressure']
malaria;['itch', 'muscle pain', 'nausea', 'fever', 'diarrhea', 'chill', 'jaundice', 'perspiration', 'vomiting', 'worry', 'excessive sweating']
malformation;['confusion', 'numbness', 'seizure', 'tinnitus', 'vertigo', 'weakness', 'worry']
malignant;['abdominal bloating', 'abdominal pain', 'anxiety', 'bloat', 'blurred vision', 'chest pain', 'confusion', 'cough', 'ear pain', 'fatigue', 'fever', 'hearing loss', 'itch', 'nausea', 'numbness', 'perspiration', 'restlessness', 'seizure', 'shortness breath', 'stiffness', 'vomiting', 'weakness', 'weight loss', 'worry']
malloryweiss;['vomiting']
malnutrition;['fatigue', 'vertigo', 'weight loss']
marfan;['joint pain']
mastectomy;['stiffness', 'swelling']
mastoiditis;['ear pain', 'fever', 'hearing loss', 'inflammation', 'swelling', 'worry']
measles;['cough', 'fever', 'muscle pain', 'rash', 'runny nose', 'sore throat']
meatal;['incontinence']
mecfs;['chill', 'fatigue', 'forgetfulness', 'inflammation', 'irritable bowel syndrome', 'joint pain', 'night sweats', 'rash', 'sensitivity noise', 'sore throat', 'swelling', 'weakness', 'worry']
meckel;['nausea', 'vomiting']
mediastinal;['chest pain', 'chill', 'cough', 'fever', 'gruffness', 'night sweats', 'shortness breath']
mediastinitis;['chest pain', 'chill', 'fever', 'shortness breath']
mediterranean fever;['abdominal pain', 'chest pain', 'chill', 'fever', 'joint pain']
medullary;['breathing problems', 'cough', 'diarrhea', 'gruffness', 'swelling']
megacolon;['diarrhea', 'fever']
meibomianitis;['dry eyes', 'inflammation', 'swelling']
membranoproliferative;['dark urine', 'swelling']
membranous;['fatigue', 'swelling', 'weight gain']
meniere;['hearing loss', 'nausea', 'perspiration', 'tinnitus', 'vertigo', 'vomiting', 'worry']
meningitis;['agitation', 'blurred vision', 'chill', 'confusion', 'diarrhea', 'fatigue', 'fever', 'hallucination', 'irritability', 'nausea', 'rapid breathing', 'rash', 'seizure', 'sensitivity light', 'vomiting', 'worry']
meningococcal;['agitation', 'chill', 'fever', 'irritability', 'nausea', 'rapid breathing', 'rash', 'sensitivity light', 'vomiting', 'worry']
meningococcemia;['fever', 'irritability', 'muscle pain', 'nausea', 'rash', 'worry']
meniscal;['knee pain', 'swelling']
menkes;['irritability', 'seizure']
menopause;['anxiety', 'blush', 'depression', 'forgetfulness', 'hot flashes', 'insomnia', 'irregular heartbeat', 'irregular periods', 'irritability', 'mood swings', 'night sweats', 'palpitation', 'worry']
mers;['chill', 'cough', 'diarrhea', 'fever', 'shortness breath', 'vomiting']
mesenteric;['abdominal pain', 'bloat', 'constipation', 'diarrhea', 'fever', 'nausea', 'vomiting']
mesothelioma;['abdominal bloating', 'abdominal pain', 'bloat', 'chest pain', 'cough', 'fatigue', 'fever', 'perspiration', 'shortness breath', 'weight loss']
metabolic;['anxiety', 'confusion', 'difficulty reading', 'difficulty walking', 'hallucination', 'high blood pressure', 'low blood pressure', 'weakness']
metachromatic;['difficulty swallowing', 'incontinence', 'irritability', 'seizure']
metastases;['chest pain', 'confusion', 'cough', 'fever', 'jaundice', 'nausea', 'perspiration', 'shortness breath', 'weakness', 'weight loss']
metastatic;['chest pain', 'cough', 'double vision', 'fatigue', 'loss appetite', 'memory loss', 'nausea', 'numbness', 'prickling', 'seizure', 'shortness breath', 'slowness', 'vomiting', 'weakness', 'weight loss', 'wheeze', 'worry']
methemoglobinemia;['fatigue', 'seizure', 'shortness breath', 'worry']
methicillinresistant;['chest pain', 'chill', 'cough', 'fatigue', 'fever', 'rash', 'shortness breath', 'worry']
methylmalonic;['seizure', 'vomiting']
microfracture;['knee pain']
migraine;['eye pain', 'neck pain', 'depression', 'nausea', 'numbness', 'prickling', 'chill', 'perspiration', 'vertigo', 'worry', 'fatigue', 'increased urination', 'sensitivity light', 'irritability', 'blurred vision', 'loss appetite', 'difficulty concentrating', 'indigestion', 'vomiting', 'weakness']
migraines;['nausea', 'vomiting', 'worry']
migrans;['abdominal pain', 'cough', 'fever', 'irritability', 'shortness breath', 'urtication', 'wheeze']
milkalkali;['back pain', 'confusion', 'constipation', 'depression', 'fatigue', 'irregular heartbeat', 'nausea', 'vomiting']
miscarriage;['abdominal pain', 'back pain']
mitral;['blood clots', 'breathing problems', 'chest pain', 'cough', 'faint', 'fainting spells', 'fatigue', 'palpitation', 'perspiration', 'rapid breathing', 'shortness breath', 'swelling', 'vertigo']
mittelschmerz;['abdominal pain']
molluscum;['inflammation', 'swelling']
mononeuropathy;['double vision', 'eye pain', 'loss sensation', 'prickling', 'swelling', 'weakness', 'worry']
mononucleosis;['chest pain', 'cough', 'fatigue', 'fever', 'jaundice', 'loss appetite', 'rash', 'sensitivity light', 'shortness breath', 'sore throat', 'stiffness', 'swollen lymph nodes', 'urtication', 'worry']
morton;['numbness', 'prickling']
mpox;['chill', 'cough', 'fatigue', 'fever', 'rash', 'runny nose', 'sore throat', 'swollen lymph nodes', 'worry']
mrsa;['chest pain', 'chill', 'cough', 'fatigue', 'fever', 'rash', 'shortness breath', 'worry']
mucopolysaccharidosis;['diarrhea', 'hearing loss', 'hyperactivity', 'stiffness']
mucormycosis;['abdominal pain', 'cough', 'diarrhea', 'fever', 'inflammation', 'shortness breath', 'vomiting', 'worry']
mumps;['fever', 'loss appetite', 'sore throat', 'swelling', 'worry']
munchausen;['diarrhea', 'fever']
myalgic;['chill', 'fatigue', 'forgetfulness', 'inflammation', 'irritable bowel syndrome', 'joint pain', 'night sweats', 'rash', 'sensitivity noise', 'sore throat', 'swelling', 'weakness', 'worry']
myasthenia;['choking', 'double vision', 'fatigue', 'gruffness', 'salivate', 'weakness']
myasthenic;['blurry vision', 'choking', 'constipation', 'double vision', 'dry eyes', 'dry mouth', 'erectile dysfunction', 'fatigue', 'muscle pain', 'perspiration', 'vertigo', 'weakness']
mycoplasma;['chest pain', 'chill', 'cough', 'ear pain', 'excessive sweating', 'eye pain', 'fever', 'perspiration', 'rapid breathing', 'rash', 'skin lesions', 'sore throat', 'stiffness', 'worry']
myelitis;['anxiety', 'chronic pain', 'constipation', 'depression', 'difficulty swallowing', 'difficulty walking', 'erectile dysfunction', 'fever', 'incontinence', 'loss appetite', 'loss balance', 'loss reflexes', 'numbness', 'prickling', 'slurred speech', 'stiffness', 'weakness']
myelodysplastic;['bruise', 'fever', 'frequent infections', 'inflammation', 'shortness breath', 'weakness']
myelofibrosis;['bruise', 'cough', 'fatigue', 'fever', 'night sweats', 'pale skin', 'shortness breath', 'weight loss']
myelogenous;['bruise', 'excessive sweating', 'fatigue', 'fever', 'night sweats', 'perspiration', 'rash', 'weakness']
myeloid;['bruise', 'fatigue', 'fever', 'frequent infections', 'joint pain', 'loss appetite', 'night sweats', 'pale skin', 'shortness breath', 'swelling', 'weight loss']
myeloma;['fatigue', 'frequent infections', 'numbness', 'shortness breath', 'weakness']
myelomeningocele;['weakness']
myocardial;['nausea', 'shortness breath', 'vertigo', 'vomiting', 'weakness']
myocarditis;['anxiety', 'chest pain', 'cough', 'diarrhea', 'faint', 'fatigue', 'fever', 'joint pain', 'nausea', 'rapid breathing', 'rash', 'shortness breath', 'sore throat', 'swelling', 'weight gain', 'worry']
myotonia;['difficulty swallowing', 'shortness breath']
myringitis;['hearing loss']
myxoma;['chest pain', 'cough', 'faint', 'fever', 'joint pain', 'palpitation', 'shortness breath', 'swelling', 'vertigo', 'weight loss']
narcolepsy;['daytime sleepiness', 'hallucination']
necrobiosis;['skin lesions']
necrosis;['back pain', 'chill', 'confusion', 'dark urine', 'fever', 'fluid retention', 'frequent urination', 'incontinence', 'nausea', 'painful urination', 'swelling', 'vomiting']
necrotizing;['abdominal bloating', 'abdominal pain', 'bloat', 'chest pain', 'chill', 'cough', 'diarrhea', 'fatigue', 'fever', 'gruffness', 'inflammation', 'joint pain', 'nausea', 'numbness', 'perspiration', 'prickling', 'shortness breath', 'sinus congestion', 'vertigo', 'vomiting', 'weakness', 'weight loss']
neonatal;['breathing problems', 'choking', 'constipation', 'diarrhea', 'fever', 'hypothyroidism', 'irritability', 'jaundice', 'low blood sugar', 'perspiration', 'rapid breathing', 'seizure', 'shortness breath', 'sneeze', 'stuffy nose', 'tremor', 'vomiting', 'weight gain']
neoplasia;['abdominal pain', 'anxiety', 'confusion', 'fatigue', 'loss appetite', 'muscle pain', 'nausea', 'vomiting', 'weakness', 'weight loss', 'worry']
nephritic;['blurred vision', 'confusion', 'cough', 'high blood pressure', 'shortness breath', 'swelling', 'worry']
nephritis;['confusion', 'fever', 'high blood pressure', 'nausea', 'rash', 'swelling', 'vomiting', 'weight gain']
nephrocalcinosis;['chill', 'fever', 'nausea', 'vomiting']
nephrogenic;['dry skin', 'fatigue', 'irritability', 'muscle pain', 'weight loss', 'worry']
nephropathy;['back pain', 'bruise', 'confusion', 'fatigue', 'nausea', 'numbness', 'swelling', 'vomiting', 'weakness', 'weight gain']
nephrotic;['cough', 'facial swelling', 'fluid retention', 'rash', 'seizure', 'swelling', 'weight gain']
neuralgia;['cough', 'loss sensation', 'sneeze', 'spasm', 'weakness']
neuroblastoma;['cough', 'diarrhea', 'fever', 'loss appetite', 'pale skin', 'perspiration', 'weight loss']
neurocognitive;['agitation', 'confusion']
neurodegeneration;['difficulty speaking', 'difficulty swallowing', 'seizure', 'weakness']
neuroendocrine;['abdominal pain', 'anxiety', 'blurry vision', 'diarrhea', 'frequent urination', 'perspiration', 'rash', 'vomiting', 'weight loss', 'worry']
neurofibromatosis;['chronic pain', 'seizure', 'numbness', 'hearing loss', 'worry', 'hyperactivity', 'weakness']
neurogenic;['incontinence']
neuroma;['hearing loss', 'loss balance', 'numbness', 'prickling', 'tinnitus', 'vertigo', 'weakness', 'worry']
neuromyelitis;['blurred vision', 'double vision', 'dysphagia', 'eye pain', 'incontinence', 'itch', 'nausea', 'numbness', 'restless legs syndrome', 'swelling', 'vomiting', 'weakness']
neuronal;['seizure']
neuropathies;['difficulty walking', 'low blood pressure', 'weakness']
neuropathy;['constipation', 'diarrhea', 'heat intolerance', 'high blood pressure', 'incontinence', 'loss balance', 'loss sensation', 'nausea', 'nausea after eating', 'numbness', 'perspiration', 'prickling', 'shortness breath', 'spasm', 'unsteady gait', 'vertigo', 'vomiting', 'weakness', 'weight loss']
neurosarcoidosis;['confusion', 'double vision', 'excessive thirst', 'fatigue', 'inflammation', 'loss sensation', 'seizure', 'vertigo', 'weakness', 'worry']
neurosyphilis;['confusion', 'depression', 'incontinence', 'irritability', 'numbness', 'seizure', 'tremor', 'weakness', 'worry']
niemannpick;['jaundice', 'seizure', 'slowness', 'swelling', 'tremor', 'unsteady gait']
nile virus;['abdominal pain', 'confusion', 'diarrhea', 'fever', 'nausea', 'rash', 'sore throat', 'swollen lymph nodes', 'vomiting', 'weakness', 'worry']
nocardia;['chest pain', 'cough', 'fever', 'night sweats', 'seizure', 'weight loss', 'worry']
nodosa;['abdominal pain', 'fatigue', 'fever', 'numbness', 'seizure', 'weakness', 'weight loss']
nodosum;['fever', 'inflammation', 'swelling']
nodular;['chest pain', 'fatigue', 'heat intolerance', 'hyperthyroidism', 'palpitation', 'perspiration', 'restlessness', 'weakness', 'weight loss']
nodule;['anxiety', 'blush', 'chest pain', 'constipation', 'dry skin', 'fatigue', 'feeling cold', 'gruffness', 'hair loss', 'memory loss', 'palpitation', 'restlessness', 'swelling', 'weight gain', 'weight loss']
noma;['bad breath']
nonalcoholic;['confusion', 'fatigue', 'itch', 'jaundice', 'loss appetite', 'nausea', 'swelling', 'weakness']
nonallergic;['nasal congestion', 'runny nose', 'sneeze', 'stuffy nose']
nonhodgkin;['abdominal pain', 'back pain', 'chill', 'constipation', 'cough', 'fever', 'itch', 'loss appetite', 'nausea', 'night sweats', 'numbness', 'rash', 'seizure', 'shortness breath', 'swelling', 'swollen lymph nodes', 'vomiting', 'weakness', 'weight loss', 'wheeze', 'worry']
noonan;['delayed growth', 'hearing loss', 'shortness breath']
norovirus;['diarrhea', 'vomiting']
nosebleed;['high blood pressure', 'sneeze']
numbness;['back pain', 'numbness', 'prickling']
nursemaids;['elbow pain']
nutrition;['bloat']
nystagmus;['seizure', 'vertigo']
obesity;['shortness breath', 'depression', 'weight gain', 'inflammation', 'daytime sleepiness', 'worry']
obliterans;['prickling']
obsessivecompulsive;['anxiety']
obstruction;['abdominal pain', 'constipation', 'dark urine', 'diarrhea', 'faint', 'fever', 'frequent urination', 'inflammation', 'itch', 'jaundice', 'nausea', 'pale stool', 'shortness breath', 'swelling', 'vertigo', 'vomiting', 'worry']
obstructive;['blood urine', 'cough', 'depression', 'fatigue', 'fever', 'high blood pressure', 'incontinence', 'nausea', 'shortness breath', 'snoring', 'swelling', 'vomiting', 'weight gain', 'wheeze', 'worry']
occlusion;['abdominal pain', 'back pain', 'high blood pressure', 'swelling', 'worry']
oculoplastic;['weakness']
ohs;['daytime sleepiness', 'depression', 'inflammation', 'shortness breath', 'worry']
opisthotonos;['seizure', 'spasm']
optic;['delayed growth', 'vomiting', 'worry']
optica;['blurred vision', 'double vision', 'dysphagia', 'eye pain', 'incontinence', 'itch', 'nausea', 'numbness', 'restless legs syndrome', 'swelling', 'vomiting', 'weakness']
oral;['bad breath', 'burning sensation', 'cough', 'fever', 'gruffness', 'itch', 'jaw pain', 'numbness', 'painful swallowing', 'prickling', 'rash', 'sore throat', 'swelling', 'swollen glands', 'swollen lymph nodes', 'weight loss']
orbital;['double vision', 'fever', 'swelling']
orchitis;['fever', 'swelling']
osgoodschlatter;['knee pain', 'swelling']
osmotic;['confusion', 'hallucination', 'slurred speech', 'weakness']
osteitis;['constipation', 'fatigue', 'frequent urination', 'nausea', 'weakness']
osteoarthritis;['stiffness']
osteogenesis;['hearing loss']
osteomalacia;['numbness', 'prickling', 'spasm', 'weakness']
osteomyelitis;['fever', 'fatigue', 'inflammation', 'chill', 'perspiration', 'excessive sweating', 'swelling']
osteopenia;['swelling']
osteosarcoma;['inflammation', 'joint pain', 'swelling']
otitis;['ear pain', 'fever', 'hearing loss', 'itch', 'weakness']
otosclerosis;['hearing loss', 'tinnitus', 'vertigo']
ovalocytosis;['jaundice']
ovarian;['abdominal bloating', 'abdominal pain', 'back pain', 'bloat', 'blood clots', 'constipation', 'diarrhea', 'hair loss', 'hot flashes', 'mood swings', 'nausea', 'night sweats', 'pelvic pain', 'shortness breath', 'swelling', 'swollen lymph nodes', 'vomiting', 'weight gain']
overdose;['abdominal pain', 'agitation', 'blurred vision', 'bruise', 'confusion', 'cough', 'depression', 'diarrhea', 'double vision', 'dry mouth', 'faint', 'fatigue', 'fever', 'hallucination', 'heartburn', 'inflammation', 'irritability', 'jaundice', 'low blood pressure', 'memory loss', 'muscle stiffness', 'nasal congestion', 'nausea', 'numbness', 'palpitation', 'perspiration', 'prickling', 'rapid breathing', 'rash', 'restlessness', 'seizure', 'shortness breath', 'slurred speech', 'sore muscles', 'spasm', 'stiffness', 'swelling', 'toothache', 'vertigo', 'vomiting', 'weakness', 'weight loss', 'wheeze', 'worry']
overgrowth;['abdominal pain', 'bloat', 'diarrhea', 'weight loss']
overheating;['nausea', 'perspiration', 'vomiting']
overproduction;['hair loss']
paget;['hearing loss', 'joint pain', 'neck pain', 'stiffness', 'worry']
pain;['abdominal pain', 'ankle pain', 'anxiety', 'back pain', 'burning sensation', 'chest pain', 'chronic pain', 'constipation', 'cough', 'depression', 'eye pain', 'fatigue', 'heartburn', 'indigestion', 'inflammation', 'irritable bowel syndrome', 'itch', 'joint pain', 'knee pain', 'neck pain', 'numbness', 'perspiration', 'prickling', 'rash', 'sharp pain', 'shortness breath', 'shoulder pain', 'spasm', 'stiffness', 'swelling', 'weakness', 'worry', 'wrist pain']
painful;['anxiety', 'painful urination', 'sore throat', 'spasm', 'swelling']
pains;['high blood pressure', 'worry']
paleness;['faint', 'low blood sugar']
palpitations;['anxiety', 'fever', 'high blood pressure', 'palpitation']
palsy;['constipation', 'difficulty swallowing', 'dry mouth', 'incontinence', 'irregular breathing', 'itch', 'loss balance', 'loss coordination', 'salivate', 'seizure', 'spasm', 'stiffness', 'tremor', 'unsteady gait', 'vomiting', 'weakness', 'worry']
pancreas;['abdominal pain', 'nausea', 'swelling', 'vomiting']
pancreatic;['abdominal pain', 'anxiety', 'bloat', 'blurry vision', 'bruise', 'chill', 'dark urine', 'diarrhea', 'fatigue', 'fever', 'frequent urination', 'inflammation', 'itch', 'jaundice', 'loss appetite', 'nausea', 'perspiration', 'rash', 'swelling', 'vomiting', 'weakness', 'weight loss', 'worry']
pancreatitis;['nausea', 'weight loss', 'fever', 'diarrhea', 'abdominal pain', 'cough', 'bloat', 'loss appetite', 'jaundice', 'perspiration', 'indigestion', 'vomiting', 'swelling']
panencephalitis;['depression', 'fever', 'mood swings', 'seizure', 'spasm', 'worry']
panic;['chest pain', 'chill', 'choking', 'feeling faint', 'hot flashes', 'nausea', 'numbness', 'palpitation', 'perspiration', 'prickling', 'shortness breath', 'vertigo']
papillomavirus;['cough', 'gruffness', 'jaw pain', 'sore throat', 'swelling', 'swollen lymph nodes', 'weight loss']
parainfluenza;['chest pain', 'cough', 'fever', 'runny nose', 'shortness breath', 'sore throat', 'stuffy nose', 'wheeze']
paralysis;['excessive sweating', 'fatigue', 'hallucination', 'heat intolerance', 'hyperthyroidism', 'inflammation', 'insomnia', 'palpitation', 'perspiration', 'tremor', 'unsteady gait', 'weakness', 'weight loss', 'worry']
paraphimosis;['swelling']
parapneumonic;['chest pain', 'cough', 'fever', 'rapid breathing', 'sharp pain', 'shortness breath']
paraquat;['choking', 'low blood pressure', 'seizure', 'shortness breath', 'vomiting']
parathyroid;['confusion', 'constipation', 'muscle pain', 'nausea']
parents;['depression']
paresis;['delusion', 'hallucination', 'irritability']
parkinsonian;['blurred vision', 'confusion', 'depression', 'difficulty chewing', 'faint', 'loss balance', 'nausea', 'perspiration', 'stiffness', 'tremor', 'vertigo']
parkinsonism;['confusion', 'memory loss', 'stiffness', 'weakness']
pcp;['anxiety', 'depression', 'loss coordination', 'memory loss', 'numbness', 'seizure']
perforation;['abdominal pain', 'breathing problems', 'chest pain', 'chill', 'fever', 'nausea', 'vomiting']
perfusion;['high blood pressure']
peritoneal;['fever', 'swelling']
peritonitis;['nausea', 'fever', 'joint pain', 'abdominal pain', 'diarrhea', 'bloat', 'chill', 'confusion', 'vomiting']
peritonsillar;['chill', 'ear pain', 'fever', 'salivate', 'stiffness', 'swelling', 'throat pain', 'worry']
pernicious;['bleeding gums', 'confusion', 'constipation', 'delusion', 'depression', 'diarrhea', 'fatigue', 'hallucination', 'heartburn', 'irritability', 'jaundice', 'loss appetite', 'loss balance', 'memory loss', 'nausea', 'numbness', 'pale skin', 'prickling', 'shortness breath', 'vertigo', 'vomiting']
pertussis;['choking', 'cough', 'diarrhea', 'fever', 'runny nose', 'vomiting']
peutzjeghers;['vomiting']
pharyngitis;['fever', 'joint pain', 'rash', 'skin rashes', 'sore throat', 'swollen lymph nodes', 'worry']
phenylketonuria;['rash', 'skin rashes', 'seizure', 'tremor', 'hyperactivity']
pheochromocytoma;['chest pain', 'high blood pressure', 'irritability', 'nausea', 'palpitation', 'perspiration', 'seizure', 'shortness breath', 'vomiting', 'weight loss', 'worry']
phlegmasia;['swelling']
phobia;['anxiety']
photophobia;['worry']
pica;['bloat', 'fatigue', 'nausea']
pierre;['choking']
pigmenti;['hair loss', 'seizure', 'spasm']
pigmentosa;['abdominal pain', 'diarrhea', 'faint', 'worry']
conjunctivitis;['blurred vision', 'eye pain', 'inflammation', 'itch', 'sensitivity light']
pinworms;['difficulty sleeping', 'irritability', 'itch', 'loss appetite']
piriformis;['spasm', 'swelling']
pituitary;['double vision', 'frequent urination', 'hyperthyroidism', 'hypothyroidism', 'loss appetite', 'low blood pressure', 'nausea', 'vomiting', 'worry']
pityriasis;['fatigue', 'fever', 'rash', 'skin rashes', 'sore throat', 'worry']
plague;['abdominal pain', 'chill', 'cough', 'diarrhea', 'fever', 'muscle pain', 'nausea', 'seizure', 'swelling', 'vomiting', 'weakness', 'worry']
plantar;['stiffness']
planus;['dry mouth', 'hair loss', 'metallic taste']
platelet;['bleeding gums', 'bruise', 'vomiting']
pleural;['chest pain', 'chill', 'cough', 'fever', 'loss appetite', 'rapid breathing', 'sharp pain', 'shortness breath', 'weight loss', 'wheeze']
pleurisy;['cough', 'rapid breathing', 'shortness breath']
plexopathy;['numbness', 'prickling', 'shoulder pain', 'weakness']
plummervinson;['difficulty swallowing', 'weakness']
pneumococcal;['agitation', 'chill', 'fever', 'irritability', 'nausea', 'rapid breathing', 'sensitivity light', 'vomiting', 'worry']
pneumoconiosis;['cough', 'shortness breath', 'swelling', 'wheeze']
pneumocystis;['cough', 'fever', 'rapid breathing', 'shortness breath']
pneumomediastinum;['chest pain']
pneumonia;['eye pain', 'ear pain', 'nausea', 'fever', 'diarrhea', 'sore throat', 'low energy', 'cough', 'night sweats', 'chill', 'perspiration', 'confusion', 'stiffness', 'worry', 'excessive sweating', 'skin lesions', 'rash', 'rapid breathing', 'fatigue', 'joint pain', 'wheeze', 'runny nose', 'loss appetite', 'vomiting', 'chest pain', 'shortness breath']
pneumonitis;['chill', 'cough', 'fever', 'loss appetite', 'rapid breathing', 'shortness breath', 'weight loss']
pneumothorax;['chest tightness', 'cough', 'faint', 'fatigue', 'irritability', 'restlessness', 'shortness breath', 'shoulder pain', 'vertigo']
poisoning;['abdominal pain', 'blurred vision', 'chill', 'choking', 'constipation', 'cough', 'diarrhea', 'difficulty sleeping', 'difficulty swallowing', 'fever', 'hearing loss', 'increased urination', 'inflammation', 'irritability', 'itch', 'low blood pressure', 'nasal congestion', 'nausea', 'painful urination', 'rapid breathing', 'rash', 'seizure', 'shortness breath', 'slurred speech', 'swelling', 'throat irritation', 'urtication', 'vomiting', 'weakness', 'worry']
polio;['constipation', 'difficulty swallowing', 'fever', 'loss appetite', 'salivate', 'sore muscles', 'sore throat', 'vomiting', 'weakness', 'worry']
polyangiitis;['abdominal pain', 'chest pain', 'cough', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'night sweats', 'shortness breath', 'swelling', 'weakness', 'weight loss']
polyarteritis;['abdominal pain', 'fatigue', 'fever', 'numbness', 'seizure', 'weakness', 'weight loss']
polycystic;['abdominal pain', 'irregular periods', 'joint pain']
polycythemia;['blood clots', 'joint pain', 'seizure', 'shortness breath', 'tinnitus', 'vertigo', 'worry']
polymorphous;['inflammation', 'itch', 'rash', 'swelling']
polymyalgia;['depression', 'fatigue', 'fever', 'stiffness', 'weight loss']
polymyositis;['difficulty swallowing', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'muscle pain', 'rash', 'shortness breath', 'stiffness', 'weakness', 'weight loss']
